strain	date	region	country	author
LC687396.1	2019-12-31 (2019-03-20 - 2019-12-31)	Asia	Japan	Sugimoto et al.
LC720428.1	2019-01-01 (2019-01-01 - 2019-10-20)	Asia	Japan	Kawase et al.
PQ611369.1	2018-04-22	Europe	United Kingdom	McClure et al.
OZ373528.1	2024-04-03	Europe	Switzerland	?
PX275932.1	2024-11-01	North America	USA	Godbole et al.
PX731650.1	2023-01-01 (2023-01-01 - 2023-09-17)	North America	USA	Goya et al.
PX731652.1	2023-10-16 (2023-01-01 - 2023-12-31)	North America	USA	Goya et al.
PX731653.1	2023-10-16 (2023-01-01 - 2023-12-31)	North America	USA	Goya et al.
PV685469.1	2023-01-03	North America	USA	Longley et al.
PV260479.1	2023-12-10	North America	USA	Paull et al.
PV260475.1	2025-01-25	North America	USA	Paull et al.
PV260488.1	2024-12-05	North America	USA	Paull et al.
PV260473.1	2025-01-03	North America	USA	Paull et al.
PV260480.1	2024-12-11	North America	USA	Paull et al.
PV260474.1	2024-12-30	North America	USA	Paull et al.
PV260476.1	2025-01-09	North America	USA	Paull et al.
PV260481.1	2024-11-27	North America	USA	Paull et al.
PV260478.1	2024-08-18	North America	USA	Paull et al.
PV685471.1	2024-04-11	North America	USA	Longley et al.
PV685473.1	2024-02-14	North America	USA	Longley et al.
PV685474.1	2024-06-21	North America	USA	Longley et al.
PV685470.1	2024-02-06	North America	USA	Longley et al.
